Product,Region,Salesperson,Units Sold,Unit Price,Total Revenue
Eco Bulb,South,Smith,34,101.21,3441.14
Ultra Widget,East,Wilson,29,140.39,4071.31
Ultra Widget,East,Williams,40,92.46,3698.4
Basic Cable,North,Williams,89,10.42,927.38
Eco Bulb,East,Jones,39,79.31,3093.09
Eco Bulb,East,Jones,50,144.97,7248.5
Smart Fan,South,Smith,13,142.65,1854.45
Eco Bulb,West,Williams,39,145.74,5683.86
Pro Laptop,South,Jones,1,828.18,828.18
Ultra Widget,East,Davis,41,99.13,4064.33
Pro Laptop,South,Williams,1,849.4,849.4
Basic Cable,North,Wilson,81,10.91,883.71
Eco Bulb,North,Miller,44,89.32,3930.08
Eco Bulb,East,Wilson,34,39.06,1328.04
Ultra Widget,East,Wilson,33,72.69,2398.77
Smart Fan,West,Miller,34,36.39,1237.26
Ultra Widget,North,Miller,27,20.75,560.25
Pro Laptop,East,Brown,3,816.78,2450.34
Eco Bulb,North,Brown,41,24.55,1006.55
Smart Fan,West,Johnson,41,98.55,4040.55
Basic Cable,South,Davis,179,12.2,2183.8
Smart Fan,South,Wilson,29,106.88,3099.52
Ultra Widget,West,Miller,29,57.61,1670.69
Smart Fan,West,Davis,28,109.18,3057.04
Ultra Widget,West,Jones,44,50.25,2211.0
Ultra Widget,South,Johnson,33,43.53,1436.49
Ultra Widget,West,Miller,49,122.14,5984.86
Eco Bulb,East,Davis,25,87.95,2198.75
Pro Laptop,East,Brown,3,1145.57,3436.71
Ultra Widget,North,Smith,26,81.38,2115.88
Ultra Widget,South,Davis,29,121.16,3513.64
Eco Bulb,East,Johnson,19,98.49,1871.31
Smart Fan,South,Davis,38,93.77,3563.26
Pro Laptop,East,Brown,3,1125.44,3376.32
Pro Laptop,East,Jones,4,893.78,3575.12
Eco Bulb,East,Jones,36,84.0,3024.0
Pro Laptop,East,Miller,3,879.74,2639.22
Pro Laptop,West,Wilson,2,1098.06,2196.12
Basic Cable,North,Davis,71,6.79,482.09
Ultra Widget,South,Williams,15,133.93,2008.95
Smart Fan,South,Johnson,37,109.23,4041.51
Basic Cable,South,Johnson,167,11.85,1978.95
Basic Cable,North,Johnson,1980,14.32,28353.6
Basic Cable,East,Smith,50,14.07,703.5
Pro Laptop,East,Smith,4,831.48,3325.92
Eco Bulb,West,Wilson,48,121.02,5808.96
Eco Bulb,West,Jones,10,29.39,293.9
Ultra Widget,East,Smith,38,24.73,939.74
Basic Cable,East,Johnson,180,7.26,1306.8
Basic Cable,West,Brown,98,8.8,862.4
Pro Laptop,East,Miller,2,1020.95,2041.9
Pro Laptop,East,Johnson,5,1000.43,5002.15
Eco Bulb,South,Miller,18,92.37,1662.66
Eco Bulb,West,Wilson,35,58.34,2041.9
Basic Cable,East,Johnson,60,11.34,680.4
Smart Fan,South,Miller,42,95.66,4017.72
Pro Laptop,South,Jones,4,887.54,3550.16
Ultra Widget,North,Miller,18,114.19,2055.42
Pro Laptop,East,Jones,2,1185.45,2370.9
Ultra Widget,West,Williams,16,27.93,446.88
Basic Cable,North,Jones,68,9.04,614.72
Eco Bulb,North,Smith,30,103.33,3099.9
Smart Fan,South,Johnson,32,55.15,1764.8
Ultra Widget,North,Williams,49,134.04,6567.96
Pro Laptop,North,Jones,3,931.43,2794.29
Smart Fan,North,Wilson,34,119.62,4067.08
Basic Cable,South,Brown,160,11.43,1828.8
Ultra Widget,North,Smith,17,119.13,2025.21
Smart Fan,South,Brown,50,39.08,1954.0
Pro Laptop,West,Jones,3,1155.17,3465.51
Basic Cable,North,Smith,102,5.34,544.68
Ultra Widget,North,Smith,19,107.96,2051.24
Smart Fan,West,Smith,22,96.74,2128.28
Ultra Widget,West,Davis,36,111.23,4004.28
Eco Bulb,North,Smith,28,124.56,3487.68
Ultra Widget,North,Johnson,19,130.89,2486.91
Pro Laptop,South,Davis,3,1197.04,3591.12
Eco Bulb,West,Williams,17,46.71,794.07
Ultra Widget,East,Jones,16,73.08,1169.28
Pro Laptop,South,Jones,3,1160.11,3480.33
Eco Bulb,East,Williams,27,129.59,3498.93
Smart Fan,South,Davis,43,67.81,2915.83
Eco Bulb,North,Williams,13,41.36,537.68
Pro Laptop,North,Wilson,3,1055.96,3167.88
Pro Laptop,North,Miller,1,923.41,923.41
Smart Fan,East,Brown,44,45.12,1985.28
Basic Cable,West,Jones,177,9.52,1685.04
Basic Cable,East,Smith,143,10.33,1477.19
Pro Laptop,East,Smith,1,815.49,815.49
Smart Fan,East,Johnson,13,118.97,1546.61
Eco Bulb,East,Smith,10,107.86,1078.6
Ultra Widget,West,Jones,17,50.32,855.44
Basic Cable,South,Smith,165,9.78,1613.7
Ultra Widget,East,Davis,31,57.09,1769.79
Basic Cable,West,Jones,163,7.78,1268.14
Pro Laptop,North,Miller,4,855.9,3423.6
Ultra Widget,South,Smith,46,106.92,4918.32
Eco Bulb,East,Brown,21,141.29,2967.09
Eco Bulb,South,Miller,40,39.7,1588.0
Eco Bulb,North,Williams,16,119.89,1918.24
Pro Laptop,West,Smith,4,1165.4,4661.6
Ultra Widget,South,Smith,17,141.66,2408.22
Basic Cable,West,Miller,145,12.85,1863.25
Basic Cable,West,Wilson,181,12.38,2240.78
Ultra Widget,North,Jones,38,91.8,3488.4
Ultra Widget,West,Miller,44,72.55,3192.2
Basic Cable,West,Brown,149,11.77,1753.73
Basic Cable,North,Jones,154,8.54,1315.16
Ultra Widget,West,Miller,41,88.94,3646.54
Smart Fan,East,Jones,44,136.38,6000.72
Basic Cable,East,Brown,109,6.63,722.67
Eco Bulb,West,Wilson,39,69.08,2694.12
Basic Cable,South,Miller,93,10.08,937.44
Smart Fan,East,Williams,32,43.78,1400.96
Smart Fan,West,Davis,49,33.05,1619.45
Smart Fan,South,Brown,24,120.63,2895.12
Eco Bulb,West,Williams,37,37.21,1376.77
Pro Laptop,East,Johnson,3,810.51,2431.53
Basic Cable,East,Wilson,125,7.32,915.0
Ultra Widget,West,Davis,10,89.73,897.3
Smart Fan,North,Miller,18,79.07,1423.26
Basic Cable,South,Johnson,92,14.92,1372.64
Ultra Widget,South,Davis,50,50.51,2525.5
Smart Fan,South,Smith,15,66.07,991.05
Smart Fan,East,Wilson,31,75.8,2349.8
Pro Laptop,North,Jones,3,1064.87,3194.61
Pro Laptop,West,Johnson,4,850.7,3402.8
Eco Bulb,East,Johnson,26,78.03,2028.78
Pro Laptop,West,Smith,3,978.51,2935.53
Basic Cable,South,Brown,141,5.74,809.34
Ultra Widget,East,Jones,10,29.28,292.8
Pro Laptop,East,Jones,4,1010.69,4042.76
Smart Fan,East,Miller,24,98.73,2369.52
Pro Laptop,South,Smith,2,960.07,1920.14
Smart Fan,West,Williams,16,47.23,755.68
Eco Bulb,North,Davis,13,66.78,868.14
Pro Laptop,North,Johnson,5,1191.2,5956.0
Pro Laptop,West,Smith,4,943.28,3773.12
Eco Bulb,North,Miller,39,61.13,2384.07
Pro Laptop,South,Jones,3,905.54,2716.62
Pro Laptop,North,Miller,1,1173.17,1173.17
Smart Fan,West,Smith,38,127.28,4836.64
Pro Laptop,South,Davis,30,1096.7,32901.0
Smart Fan,West,Johnson,21,114.0,2394.0
Basic Cable,South,Brown,130,5.58,725.4
Basic Cable,South,Brown,100,9.22,922.0
Pro Laptop,South,Johnson,1,1028.84,1028.84
Basic Cable,West,Wilson,106,8.25,874.5
Eco Bulb,North,Smith,16,96.83,1549.28
Eco Bulb,South,Williams,30,96.04,2881.2
Eco Bulb,South,Wilson,15,25.64,384.6
Eco Bulb,South,Brown,11,114.75,1262.25
Ultra Widget,South,Brown,40,87.96,3518.4
Basic Cable,East,Williams,164,14.34,2351.76
Pro Laptop,North,Davis,4,971.06,3884.24
Pro Laptop,East,Williams,5,998.54,4992.7
Basic Cable,East,Wilson,138,6.98,963.24
Ultra Widget,North,Johnson,35,122.42,4284.7
Basic Cable,East,Johnson,141,8.48,1195.68
Basic Cable,West,Wilson,77,6.8,523.6
Smart Fan,North,Davis,44,72.2,3176.8
Ultra Widget,North,Miller,34,144.82,4923.88
Eco Bulb,South,Miller,19,90.98,1728.62
Eco Bulb,South,Brown,36,30.84,1110.24
Pro Laptop,North,Miller,5,865.38,4326.9
Basic Cable,East,Davis,193,6.38,1231.34
Eco Bulb,West,Williams,28,104.29,2920.12
Smart Fan,North,Johnson,44,50.47,2220.68
Pro Laptop,East,Wilson,3,953.72,2861.16
Basic Cable,North,Davis,184,9.99,1838.16
Basic Cable,East,Brown,83,11.53,956.99
Smart Fan,South,Johnson,26,45.51,1183.26
Ultra Widget,East,Wilson,45,26.78,1205.1
Basic Cable,East,Jones,146,10.36,1512.56
Smart Fan,North,Davis,19,25.25,479.75
Eco Bulb,South,Johnson,43,75.37,3240.91
Eco Bulb,West,Smith,17,107.01,1819.17
Pro Laptop,East,Wilson,4,824.57,3298.28
Pro Laptop,South,Brown,1,937.88,937.88
Smart Fan,West,Williams,35,95.09,3328.15
Smart Fan,South,Wilson,49,144.75,7092.75
Smart Fan,East,Wilson,22,149.59,3290.98
Pro Laptop,East,Johnson,4,1015.69,4062.76
Basic Cable,West,Wilson,152,9.31,1415.12
Smart Fan,East,Wilson,37,117.85,4360.45
Eco Bulb,West,Johnson,23,57.74,1328.02
Smart Fan,South,Williams,38,25.55,970.9
Smart Fan,North,Wilson,31,118.83,3683.73
Eco Bulb,South,Williams,50,99.62,4981.0
Smart Fan,South,Wilson,28,141.11,3951.08
Eco Bulb,West,Jones,28,81.96,2294.88
Ultra Widget,West,Williams,36,85.04,3061.44
Pro Laptop,East,Jones,1,1021.86,1021.86
Basic Cable,West,Jones,148,11.94,1767.12
Smart Fan,East,Davis,30,27.91,837.3
Basic Cable,North,Williams,200,10.13,2026.0
Basic Cable,North,Jones,113,9.3,1050.9
Basic Cable,West,Williams,100,10.4,1040.0
Ultra Widget,North,Johnson,32,54.61,1747.52
Ultra Widget,East,Johnson,47,142.03,6675.41
Ultra Widget,East,Johnson,16,113.54,1816.64
Smart Fan,South,Wilson,22,60.21,1324.62
Eco Bulb,South,Brown,21,117.46,2466.66
Eco Bulb,West,Davis,34,102.91,3498.94
Eco Bulb,South,Miller,39,111.77,4359.03
Smart Fan,West,Brown,12,126.18,1514.16
Basic Cable,East,Johnson,135,14.53,1961.55
Ultra Widget,East,Wilson,17,146.08,2483.36
Eco Bulb,East,Miller,34,101.13,3438.42
Smart Fan,East,Johnson,49,136.92,6709.08
Smart Fan,North,Johnson,43,54.21,2331.03
Pro Laptop,West,Johnson,3,1076.05,3228.15
Basic Cable,North,Davis,86,7.06,607.16
Pro Laptop,South,Johnson,1,969.3,969.3
Smart Fan,West,Wilson,20,109.56,2191.2
Eco Bulb,North,Wilson,34,102.25,3476.5
Eco Bulb,East,Johnson,49,66.22,3244.78
Smart Fan,North,Smith,11,125.82,1384.02
Pro Laptop,South,Miller,5,1084.11,5420.55
Basic Cable,West,Jones,98,5.08,497.84
Ultra Widget,West,Smith,28,84.88,2376.64
Pro Laptop,East,Miller,4,883.06,3532.24
Eco Bulb,West,Davis,48,122.16,5863.68
Eco Bulb,South,Miller,50,52.93,2646.5
Pro Laptop,West,Brown,5,953.55,4767.75
Smart Fan,West,Johnson,39,103.75,4046.25
Eco Bulb,East,Jones,15,115.87,1738.05
Eco Bulb,West,Miller,31,149.65,4639.15
Smart Fan,West,Jones,31,63.06,1954.86
Ultra Widget,East,Brown,26,46.28,1203.28
Pro Laptop,West,Miller,4,902.48,3609.92
Smart Fan,North,Jones,16,119.79,1916.64
Pro Laptop,South,Johnson,3,1033.68,3101.04
Eco Bulb,West,Brown,45,20.96,943.2
Ultra Widget,West,Brown,25,48.63,1215.75
Basic Cable,South,Davis,171,6.12,1046.52
Smart Fan,North,Smith,50,91.36,4568.0
Smart Fan,West,Jones,20,126.01,2520.2
Eco Bulb,North,Davis,50,24.03,1201.5
Pro Laptop,South,Williams,3,801.89,2405.67
Ultra Widget,North,Miller,23,118.34,2721.82
Eco Bulb,South,Davis,44,58.47,2572.68
Smart Fan,South,Davis,360,63.2,22752.0
Eco Bulb,West,Smith,18,109.86,1977.48
Pro Laptop,North,Miller,5,975.86,4879.3
Smart Fan,North,Johnson,46,102.46,4713.16
Ultra Widget,South,Wilson,10,44.44,444.4
Basic Cable,South,Miller,151,10.99,1659.49
Ultra Widget,North,Miller,45,57.29,2578.05
Eco Bulb,West,Williams,41,93.72,3842.52
Smart Fan,East,Williams,13,28.21,366.73
Smart Fan,North,Wilson,39,68.02,2652.78
Basic Cable,South,Wilson,188,11.9,2237.2
Pro Laptop,South,Johnson,2,860.06,1720.12
Pro Laptop,West,Smith,3,875.65,2626.95
Basic Cable,South,Brown,167,5.74,958.58
Basic Cable,North,Smith,71,7.35,521.85
Smart Fan,West,Smith,36,80.59,2901.24
Basic Cable,West,Smith,183,9.58,1753.14
Pro Laptop,East,Jones,4,803.77,3215.08
Basic Cable,West,Davis,116,13.46,1561.36
Smart Fan,East,Jones,29,81.61,2366.69
Ultra Widget,North,Davis,24,104.11,2498.64
Smart Fan,North,Brown,50,126.82,6341.0
Pro Laptop,East,Smith,3,800.01,2400.03
Pro Laptop,West,Jones,1,899.07,899.07
Basic Cable,East,Brown,53,14.51,769.03
Eco Bulb,West,Wilson,26,105.76,2749.76
Ultra Widget,East,Smith,31,58.51,1813.81
Pro Laptop,West,Wilson,2,983.64,1967.28
Pro Laptop,North,Johnson,4,888.66,3554.64
Basic Cable,South,Brown,138,11.31,1560.78
Ultra Widget,North,Smith,50,75.25,3762.5
Eco Bulb,West,Jones,50,30.35,1517.5
Eco Bulb,North,Williams,46,33.09,1522.14
Pro Laptop,West,Wilson,2,827.79,1655.58
Smart Fan,North,Williams,41,34.62,1419.42
Ultra Widget,South,Brown,39,146.68,5720.52
Pro Laptop,South,Williams,5,867.8,4339.0
Basic Cable,South,Jones,156,11.52,1797.12
Ultra Widget,North,Wilson,10,33.54,335.4
Ultra Widget,West,Johnson,39,90.22,3518.58
Pro Laptop,North,Smith,2,1144.21,2288.42
Smart Fan,North,Smith,29,76.83,2228.07
Pro Laptop,East,Miller,3,1043.29,3129.87
Smart Fan,West,Williams,49,62.21,3048.29
Smart Fan,West,Johnson,23,120.4,2769.2
Eco Bulb,North,Jones,38,88.98,3381.24
Smart Fan,South,Brown,19,94.17,1789.23
Basic Cable,East,Williams,72,13.53,974.16
Eco Bulb,West,Davis,29,77.93,2259.97
Eco Bulb,North,Jones,19,82.16,1561.04
Smart Fan,South,Miller,29,90.94,2637.26
Ultra Widget,South,Wilson,26,75.26,1956.76
Ultra Widget,East,Davis,29,40.54,1175.66
Eco Bulb,East,Wilson,47,111.5,5240.5
Eco Bulb,West,Miller,36,84.04,3025.44
Eco Bulb,South,Davis,35,70.95,2483.25
Smart Fan,East,Williams,12,86.67,1040.04
Basic Cable,West,Johnson,166,12.01,1993.66
Smart Fan,North,Brown,20,88.57,1771.4
Smart Fan,North,Davis,32,141.98,4543.36
Eco Bulb,North,Wilson,50,34.24,1712.0
Basic Cable,West,Brown,169,9.69,1637.61
Smart Fan,North,Miller,35,43.66,1528.1
Eco Bulb,West,Williams,20,101.09,2021.8
Pro Laptop,East,Jones,1,1007.85,1007.85
Pro Laptop,West,Miller,5,1062.99,5314.95
Basic Cable,East,Johnson,171,9.57,1636.47
Eco Bulb,East,Wilson,43,128.1,5508.3
Smart Fan,South,Brown,47,121.11,5692.17
Eco Bulb,South,Davis,14,27.05,378.7
Eco Bulb,East,Miller,39,63.45,2474.55
Ultra Widget,North,Johnson,15,43.75,656.25
Pro Laptop,West,Brown,3,857.67,2573.01
Pro Laptop,South,Wilson,1,866.97,866.97
Basic Cable,East,Wilson,69,10.85,748.65
Smart Fan,West,Brown,50,102.84,5142.0
Smart Fan,East,Miller,15,28.01,420.15
Pro Laptop,West,Brown,2,1104.34,2208.68
Eco Bulb,West,Wilson,23,142.24,3271.52
Ultra Widget,East,Wilson,30,144.31,4329.3
Basic Cable,North,Brown,122,5.51,672.22
Basic Cable,South,Wilson,103,9.63,991.89
Ultra Widget,West,Smith,45,135.36,6091.2
Basic Cable,North,Smith,177,11.24,1989.48
Ultra Widget,West,Johnson,13,112.93,1468.09
Eco Bulb,East,Wilson,46,33.7,1550.2
Ultra Widget,West,Smith,38,139.02,5282.76
Pro Laptop,East,Johnson,4,1198.3,4793.2
Ultra Widget,North,Wilson,12,68.3,819.6
Smart Fan,South,Wilson,36,78.92,2841.12
Ultra Widget,North,Johnson,36,38.32,1379.52
Eco Bulb,North,Davis,46,28.77,1323.42
Basic Cable,South,Williams,167,11.47,1915.49
Pro Laptop,West,Davis,1,1096.15,1096.15
Smart Fan,West,Johnson,27,67.44,1820.88
Basic Cable,East,Wilson,137,11.02,1509.74
Basic Cable,South,Johnson,181,9.19,1663.39
Pro Laptop,West,Johnson,1,852.85,852.85
Basic Cable,East,Miller,117,12.69,1484.73
Basic Cable,West,Wilson,188,6.08,1143.04
Smart Fan,West,Wilson,280,135.56,37956.8
Smart Fan,West,Miller,42,146.86,6168.12
Basic Cable,North,Jones,74,14.39,1064.86
Pro Laptop,East,Wilson,1,1113.46,1113.46
Basic Cable,East,Wilson,180,7.98,1436.4
Ultra Widget,North,Brown,25,76.25,1906.25
Pro Laptop,South,Miller,2,989.74,1979.48
Smart Fan,West,Smith,29,149.36,4331.44
Basic Cable,West,Smith,166,13.71,2275.86
Pro Laptop,East,Brown,5,880.5,4402.5
Ultra Widget,North,Smith,22,115.4,2538.8
Eco Bulb,North,Smith,50,39.91,1995.5
Ultra Widget,West,Miller,18,64.47,1160.46
Ultra Widget,East,Wilson,38,126.89,4821.82
Eco Bulb,South,Williams,20,105.66,2113.2
Smart Fan,East,Williams,49,64.14,3142.86
Ultra Widget,South,Miller,18,131.27,2362.86
Eco Bulb,East,Brown,41,114.15,4680.15
Eco Bulb,West,Wilson,27,43.66,1178.82
Smart Fan,West,Smith,17,24.24,412.08
Pro Laptop,West,Williams,4,988.23,3952.92
Basic Cable,North,Brown,169,5.19,877.11
Pro Laptop,North,Williams,5,900.22,4501.1
Smart Fan,South,Brown,22,66.86,1470.92
Eco Bulb,East,Williams,49,129.13,6327.37
Smart Fan,North,Smith,37,118.84,4397.08
Eco Bulb,East,Wilson,33,75.96,2506.68
Pro Laptop,North,Smith,5,892.18,4460.9
Basic Cable,East,Miller,149,13.98,2083.02
Pro Laptop,West,Jones,4,1049.04,4196.16
Pro Laptop,West,Wilson,3,1051.55,3154.65
Ultra Widget,West,Davis,21,131.73,2766.33
Basic Cable,West,Davis,70,14.05,983.5
Eco Bulb,East,Williams,46,57.9,2663.4
Basic Cable,South,Jones,121,9.61,1162.81
Basic Cable,North,Jones,176,12.21,2148.96
Ultra Widget,North,Wilson,37,80.42,2975.54
Pro Laptop,North,Johnson,2,1190.42,2380.84
Eco Bulb,East,Davis,43,102.6,4411.8
Ultra Widget,East,Miller,30,98.6,2958.0
Eco Bulb,South,Wilson,14,135.43,1896.02
Ultra Widget,West,Johnson,21,72.44,1521.24
Smart Fan,West,Davis,39,69.8,2722.2
Basic Cable,West,Jones,60,12.65,759.0
Eco Bulb,East,Smith,35,77.88,2725.8
Ultra Widget,South,Wilson,10,107.87,1078.7
Basic Cable,South,Wilson,136,11.99,1630.64
Basic Cable,South,Johnson,145,14.21,2060.45
Ultra Widget,South,Miller,25,68.53,1713.25
Pro Laptop,West,Davis,1,1186.92,1186.92
Basic Cable,West,Williams,165,8.63,1423.95
Eco Bulb,East,Miller,37,105.43,3900.91
Smart Fan,South,Smith,25,27.15,678.75
Eco Bulb,West,Davis,24,136.82,3283.68
Basic Cable,East,Wilson,180,8.09,1456.2
Eco Bulb,West,Williams,38,97.33,3698.54
Pro Laptop,South,Williams,1,864.76,864.76
Basic Cable,North,Miller,97,9.92,962.24
Pro Laptop,North,Smith,1,907.86,907.86
Pro Laptop,South,Davis,4,1179.01,4716.04
Pro Laptop,East,Williams,3,813.6,2440.8
Eco Bulb,East,Williams,37,62.89,2326.93
Ultra Widget,West,Jones,43,53.79,2312.97
